,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1254,Unlabeled 1254,Unlabeled 1254,Unlabeled 1256,Unlabeled 1256,Unlabeled 1256
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C4C80","C4C80","C4C80","C4C90","C4C90","C4C90","C4C60","C4C60","C4C60","C4CC0","C4CC0","C4CC0","C4CE0","C4CE0","C4CE0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,0.241667,-54.791710,15.393838,74.371216,-0.685245,0.104319,-0.752994,0.000598,-0.050755,-0.056242,-0.037863,0.768224,0.042138,0.044624,0.027206,0.507461,0.008617,0.011618,0.010657,0.668865,-0.656764,0.028046,-0.727679,-0.707344,0.164516,-0.776268,-0.691795,0.120190,-0.754995,,,,,,
30,0.250000,-54.773918,15.370663,74.345924,-0.685233,0.104325,-0.752993,0.000596,-0.050755,-0.056242,-0.037863,0.768223,0.042138,0.044624,0.027206,0.506927,0.008617,0.011618,0.010657,0.666946,-0.656757,0.028055,-0.727677,-0.707328,0.164519,-0.776268,-0.691785,0.120194,-0.754994,,,,,,
31,0.258333,-54.844200,15.457989,74.426292,-0.685212,0.104354,-0.753005,0.000613,-0.050755,-0.056242,-0.037863,0.759363,0.042138,0.044624,0.027206,0.490213,0.008617,0.011618,0.010657,0.656332,-0.656743,0.028064,-0.727677,-0.707290,0.164593,-0.776300,-0.691785,0.120189,-0.754997,,,,,,
32,0.266667,-54.782909,15.375195,74.356293,-0.685238,0.104326,-0.752996,0.000598,-0.050755,-0.056242,-0.037863,0.759363,0.042138,0.044624,0.027206,0.490213,0.008617,0.011618,0.010657,0.656332,-0.656761,0.028053,-0.727676,-0.707339,0.164518,-0.776273,-0.691790,0.120196,-0.754999,,,,,,
33,0.275000,-54.869549,15.523373,74.465736,-0.685240,0.104325,-0.752997,0.000596,-0.050755,-0.056242,-0.037863,0.769265,0.042138,0.044624,0.027206,0.506570,0.008617,0.011618,0.010657,0.665970,-0.656759,0.028057,-0.727692,-0.707349,0.164518,-0.776268,-0.691782,0.120193,-0.754991,,,,,,
34,0.283333,-54.837685,15.469318,74.420380,-0.685235,0.104324,-0.752996,0.000602,-0.050755,-0.056242,-0.037863,0.769265,0.042138,0.044624,0.027206,0.506570,0.008617,0.011618,0.010657,0.665970,-0.656765,0.028046,-0.727680,-0.707329,0.164528,-0.776275,-0.691785,0.120187,-0.754993,,,,,,
35,0.291667,-54.745777,15.300114,74.315323,-0.685218,0.104354,-0.753007,0.000611,-0.050755,-0.056242,-0.037863,0.761315,0.042138,0.044624,0.027206,0.491386,0.008617,0.011618,0.010657,0.657952,-0.656732,0.028073,-0.727681,-0.707297,0.164590,-0.776305,-0.691797,0.120187,-0.754995,,,,,,
36,0.300000,-54.911160,15.581477,74.509071,-0.685240,0.104320,-0.752996,0.000596,-0.050755,-0.056242,-0.037863,0.761315,0.042138,0.044624,0.027206,0.491386,0.008617,0.011618,0.010657,0.657952,-0.656761,0.028052,-0.727685,-0.707353,0.164509,-0.776268,-0.691779,0.120192,-0.754996,,,,,,
37,0.308333,-54.772842,15.351826,74.343124,-0.685234,0.104324,-0.753002,0.000600,-0.050755,-0.056242,-0.037863,0.764824,0.042138,0.044624,0.027206,0.504740,0.008617,0.011618,0.010657,0.667529,-0.656754,0.028051,-0.727680,-0.707336,0.164520,-0.776288,-0.691786,0.120191,-0.754999,,,,,,
38,0.316667,-54.753063,15.334100,74.330078,-0.685245,0.104326,-0.752994,0.000601,-0.050755,-0.056242,-0.037863,0.764824,0.042138,0.044624,0.027206,0.504740,0.008617,0.011618,0.010657,0.667529,-0.656763,0.028050,-0.727681,-0.707340,0.164531,-0.776269,-0.691804,0.120189,-0.754993,,,,,,
