Format Version,1.23,Take Name,Soap_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 12.18.25.921 PM,Capture Start Frame,529838,Total Frames in Take,3110,Total Exported Frames,3110,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062
,ID,"C4D20","C4D20","C4D20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
230,1.916667,0.063510,0.502836,-0.768625
231,1.925000,0.064359,0.501586,-0.767112
232,1.933333,0.064636,0.500794,-0.765553
233,1.941667,0.064613,0.500451,-0.764147
234,1.950000,0.065368,0.499077,-0.762297
235,1.958333,0.065193,0.498642,-0.760611
236,1.966667,0.065679,0.497372,-0.758718
237,1.975000,0.065819,0.496553,-0.756553
238,1.983333,0.066045,0.495525,-0.754409
239,1.991667,0.066324,0.494251,-0.752050
240,2.000000,0.066594,0.493128,-0.749704
241,2.008333,0.066899,0.491715,-0.747227
242,2.016667,0.067093,0.490614,-0.744428
243,2.025000,0.067441,0.489065,-0.741801
244,2.033333,0.067709,0.487734,-0.738857
245,2.041667,0.068084,0.486089,-0.736017
246,2.050000,0.068412,0.484617,-0.732938
247,2.058333,0.068801,0.483016,-0.729638
248,2.066667,0.069371,0.481239,-0.726427
249,2.075000,0.069723,0.479585,-0.722882
250,2.083333,0.070196,0.477929,-0.719237
251,2.091667,0.070881,0.475737,-0.715798
252,2.100000,0.071549,0.473901,-0.711988
253,2.108333,0.072277,0.471708,-0.708205
254,2.116667,0.072996,0.469830,-0.704010
255,2.125000,0.073804,0.467572,-0.700062
256,2.133333,0.074739,0.465309,-0.695908
257,2.141667,0.075526,0.463164,-0.691495
258,2.150000,0.076373,0.460750,-0.687260
259,2.158333,0.077221,0.458461,-0.682750
260,2.166667,0.078122,0.455945,-0.678425
261,2.175000,0.078928,0.453659,-0.673848
262,2.183333,0.079754,0.451135,-0.669509
263,2.191667,0.080381,0.448808,-0.664947
264,2.200000,0.081043,0.446311,-0.660370
265,2.208333,0.081789,0.443872,-0.655824
266,2.216667,0.082582,0.441344,-0.651276
267,2.225000,0.083278,0.438805,-0.646816
268,2.233333,0.083846,0.436491,-0.642015
269,2.241667,0.083951,0.434102,-0.637124
270,2.250000,0.084025,0.431642,-0.632227
271,2.258333,0.083883,0.429383,-0.627099
272,2.266667,0.083696,0.427066,-0.621969
273,2.275000,0.083720,0.424474,-0.616821
274,2.283333,0.083466,0.422142,-0.611728
275,2.291667,0.083449,0.419498,-0.606396
276,2.300000,0.083128,0.417178,-0.601050
277,2.308333,0.083071,0.414419,-0.595740
278,2.316667,0.082633,0.412060,-0.590272
279,2.325000,0.082381,0.409503,-0.584669
280,2.333333,0.081933,0.407003,-0.579118
281,2.341667,0.081303,0.404652,-0.573538
