Format Version,1.23,Take Name,FloorBottom_240610_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 12.17.55.129 PM,Capture Start Frame,1039418,Total Frames in Take,2308,Total Exported Frames,2308,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
47,0.391667,-33.874374,12.220767,80.611366,-0.936877,0.471348,-0.837655,0.000637,-0.050755,-0.056242,-0.037863,0.942918,0.042138,0.044624,0.027206,0.736722,0.008617,0.011618,0.010657,0.811417,-0.898751,0.395937,-0.843662,-0.968114,0.531598,-0.836339,-0.943920,0.486445,-0.832957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.400000,-33.817245,11.653437,79.996475,-0.929310,0.466678,-0.836484,0.000675,-0.050755,-0.056242,-0.037863,0.993810,0.042138,0.044624,0.027206,0.789516,0.008617,0.011618,0.010657,0.811988,-0.891347,0.391136,-0.841880,-0.960350,0.527068,-0.835716,-0.936393,0.481759,-0.831845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.408333,-33.975040,11.362359,79.728073,-0.921831,0.461405,-0.835269,0.000676,-0.050755,-0.056242,-0.037863,0.990678,0.042138,0.044624,0.027206,0.786200,0.008617,0.011618,0.010657,0.805944,-0.883896,0.385772,-0.840117,-0.952801,0.521871,-0.834905,-0.928970,0.476495,-0.830775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.416667,-35.421658,12.614029,80.607140,-0.914242,0.455639,-0.834165,0.000624,-0.050755,-0.056242,-0.037863,0.984214,0.042138,0.044624,0.027206,0.782996,0.008617,0.011618,0.010657,0.810933,-0.876451,0.379920,-0.838353,-0.945154,0.516061,-0.834336,-0.921274,0.470866,-0.829797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.425000,-35.594669,12.380171,80.264641,-0.906791,0.449479,-0.833049,0.000640,-0.050755,-0.056242,-0.037863,0.988227,0.042138,0.044624,0.027206,0.799769,0.008617,0.011618,0.010657,0.819493,-0.869152,0.373658,-0.836654,-0.937519,0.510007,-0.833685,-0.913855,0.464700,-0.828800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.433333,-36.299252,12.692077,80.437241,-0.899497,0.442792,-0.831994,0.000650,-0.050755,-0.056242,-0.037863,0.989755,0.042138,0.044624,0.027206,0.800886,0.008617,0.011618,0.010657,0.817510,-0.861947,0.366885,-0.834952,-0.930189,0.503368,-0.833166,-0.906520,0.458045,-0.827854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.441667,-36.604485,12.617933,80.085800,-0.892208,0.435768,-0.830998,0.000639,-0.050755,-0.056242,-0.037863,0.985053,0.042138,0.044624,0.027206,0.800599,0.008617,0.011618,0.010657,0.814774,-0.854953,0.359692,-0.833275,-0.922572,0.496484,-0.832714,-0.899257,0.451050,-0.826996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.450000,-38.265686,14.194612,81.106010,-0.885125,0.428320,-0.830017,0.000613,-0.050755,-0.056242,-0.037863,0.976462,0.042138,0.044624,0.027206,0.810685,0.008617,0.011618,0.010657,0.830345,-0.848168,0.352051,-0.831598,-0.915336,0.489056,-0.832253,-0.892033,0.443771,-0.826192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.458333,-38.233887,13.610479,80.411949,-0.878144,0.420585,-0.829080,0.000650,-0.050755,-0.056242,-0.037863,0.979742,0.042138,0.044624,0.027206,0.800575,0.008617,0.011618,0.010657,0.813596,-0.841394,0.344220,-0.829920,-0.908113,0.481468,-0.831936,-0.885092,0.435981,-0.825374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.466667,-39.217037,14.269058,80.777847,-0.871364,0.412464,-0.828129,0.000640,-0.050755,-0.056242,-0.037863,0.988452,0.042138,0.044624,0.027206,0.808712,0.008617,0.011618,0.010657,0.811004,-0.834801,0.336047,-0.828252,-0.901189,0.473352,-0.831560,-0.878249,0.427916,-0.824568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
