Format Version,1.23,Take Name,FloorBottom_240610_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 12.17.55.129 PM,Capture Start Frame,1039418,Total Frames in Take,2308,Total Exported Frames,2308,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
2093,17.441667,26.837097,-26.749140,15.744541,-0.141595,0.146910,0.048873,0.000692,-0.050755,-0.056242,-0.037863,0.765439,0.042138,0.044624,0.027206,0.874008,0.008617,0.011618,0.010657,0.704944,-0.154227,0.108961,-0.024755,-0.128090,0.179053,0.106492,-0.142305,0.152880,0.064777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,17.450000,26.832634,-26.764135,15.730694,-0.141605,0.146907,0.048875,0.000693,-0.050755,-0.056242,-0.037863,0.766734,0.042138,0.044624,0.027206,0.874346,0.008617,0.011618,0.010657,0.705341,-0.154241,0.108962,-0.024760,-0.128100,0.179045,0.106502,-0.142313,0.152880,0.064777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,17.458333,26.830101,-26.813799,15.721316,-0.141606,0.146902,0.048879,0.000696,-0.050755,-0.056242,-0.037863,0.765468,0.042138,0.044624,0.027206,0.869363,0.008617,0.011618,0.010657,0.701294,-0.154204,0.108971,-0.024767,-0.128111,0.179044,0.106510,-0.142340,0.152855,0.064787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096,17.466667,26.793514,-26.837902,15.681642,-0.141606,0.146900,0.048880,0.000696,-0.050755,-0.056242,-0.037863,0.764578,0.042138,0.044624,0.027206,0.870298,0.008617,0.011618,0.010657,0.701394,-0.154224,0.108957,-0.024752,-0.128095,0.179049,0.106502,-0.142335,0.152861,0.064784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,17.475000,26.851542,-26.735661,15.761788,-0.141603,0.146907,0.048876,0.000694,-0.050755,-0.056242,-0.037863,0.765784,0.042138,0.044624,0.027206,0.869360,0.008617,0.011618,0.010657,0.702221,-0.154224,0.108965,-0.024761,-0.128091,0.179061,0.106493,-0.142331,0.152860,0.064792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,17.483333,26.841717,-26.766285,15.741308,-0.141608,0.146896,0.048884,0.000694,-0.050755,-0.056242,-0.037863,0.764779,0.042138,0.044624,0.027206,0.867111,0.008617,0.011618,0.010657,0.700207,-0.154221,0.108965,-0.024758,-0.128093,0.179050,0.106501,-0.142348,0.152840,0.064802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,17.491667,26.780815,-26.867058,15.658937,-0.141597,0.146911,0.048871,0.000695,-0.050755,-0.056242,-0.037863,0.764631,0.042138,0.044624,0.027206,0.869663,0.008617,0.011618,0.010657,0.701636,-0.154213,0.108972,-0.024764,-0.128084,0.179056,0.106491,-0.142330,0.152871,0.064780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,17.500000,26.811544,-26.831331,15.691723,-0.141603,0.146906,0.048878,0.000697,-0.050755,-0.056242,-0.037863,0.764888,0.042138,0.044624,0.027206,0.871268,0.008617,0.011618,0.010657,0.701839,-0.154219,0.108975,-0.024762,-0.128100,0.179041,0.106509,-0.142331,0.152865,0.064782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,17.508333,26.817551,-26.807846,15.706413,-0.141603,0.146904,0.048880,0.000696,-0.050755,-0.056242,-0.037863,0.764888,0.042138,0.044624,0.027206,0.871268,0.008617,0.011618,0.010657,0.701839,-0.154224,0.108965,-0.024758,-0.128093,0.179047,0.106507,-0.142333,0.152860,0.064790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,17.516667,26.823305,-26.809223,15.711228,-0.141602,0.146901,0.048880,0.000696,-0.050755,-0.056242,-0.037863,0.765876,0.042138,0.044624,0.027206,0.870199,0.008617,0.011618,0.010657,0.701717,-0.154213,0.108971,-0.024760,-0.128093,0.179046,0.106503,-0.142336,0.152854,0.064791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,17.525000,26.903391,-26.686956,15.814218,-0.141607,0.146895,0.048880,0.000698,-0.050755,-0.056242,-0.037863,0.764718,0.042138,0.044624,0.027206,0.868644,0.008617,0.011618,0.010657,0.701243,-0.154216,0.108976,-0.024764,-0.128111,0.179034,0.106511,-0.142333,0.152840,0.064788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,17.533333,26.825874,-26.791046,15.722722,-0.141602,0.146901,0.048877,0.000697,-0.050755,-0.056242,-0.037863,0.764487,0.042138,0.044624,0.027206,0.869972,0.008617,0.011618,0.010657,0.701023,-0.154215,0.108966,-0.024757,-0.128097,0.179045,0.106498,-0.142328,0.152859,0.064782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105,17.541667,26.845623,-26.768637,15.741982,-0.141601,0.146901,0.048872,0.000696,-0.050755,-0.056242,-0.037863,0.763819,0.042138,0.044624,0.027206,0.871070,0.008617,0.011618,0.010657,0.701828,-0.154214,0.108972,-0.024769,-0.128093,0.179047,0.106498,-0.142331,0.152853,0.064781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2106,17.550000,26.828638,-26.799749,15.722486,-0.141609,0.146898,0.048880,0.000695,-0.050755,-0.056242,-0.037863,0.764812,0.042138,0.044624,0.027206,0.869175,0.008617,0.011618,0.010657,0.701084,-0.154220,0.108961,-0.024762,-0.128104,0.179046,0.106505,-0.142344,0.152851,0.064794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,17.558333,26.839020,-26.761492,15.744259,-0.141605,0.146899,0.048877,0.000694,-0.050755,-0.056242,-0.037863,0.766152,0.042138,0.044624,0.027206,0.868773,0.008617,0.011618,0.010657,0.701618,-0.154220,0.108960,-0.024760,-0.128094,0.179052,0.106492,-0.142337,0.152850,0.064791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2108,17.566667,26.874872,-26.730343,15.777266,-0.141600,0.146902,0.048874,0.000695,-0.050755,-0.056242,-0.037863,0.765899,0.042138,0.044624,0.027206,0.869615,0.008617,0.011618,0.010657,0.702362,-0.154212,0.108977,-0.024773,-0.128099,0.179043,0.106502,-0.142327,0.152853,0.064788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,17.575000,26.830627,-26.810457,15.720614,-0.141603,0.146894,0.048881,0.000699,-0.050755,-0.056242,-0.037863,0.764147,0.042138,0.044624,0.027206,0.867203,0.008617,0.011618,0.010657,0.699042,-0.154202,0.108968,-0.024762,-0.128099,0.179041,0.106506,-0.142349,0.152835,0.064795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,17.583333,26.834080,-26.796244,15.721815,-0.141611,0.146890,0.048881,0.000693,-0.050755,-0.056242,-0.037863,0.765715,0.042138,0.044624,0.027206,0.868496,0.008617,0.011618,0.010657,0.701737,-0.154223,0.108962,-0.024765,-0.128102,0.179032,0.106506,-0.142344,0.152842,0.064795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,17.591667,26.827421,-26.779236,15.729324,-0.141613,0.146889,0.048879,0.000693,-0.050755,-0.056242,-0.037863,0.766032,0.042138,0.044624,0.027206,0.869198,0.008617,0.011618,0.010657,0.702137,-0.154233,0.108944,-0.024757,-0.128102,0.179043,0.106497,-0.142344,0.152844,0.064794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,17.600000,26.801767,-26.822981,15.695498,-0.141611,0.146890,0.048881,0.000693,-0.050755,-0.056242,-0.037863,0.765038,0.042138,0.044624,0.027206,0.868949,0.008617,0.011618,0.010657,0.701633,-0.154226,0.108946,-0.024753,-0.128098,0.179044,0.106496,-0.142347,0.152846,0.064796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,17.608333,26.819151,-26.801025,15.713808,-0.141613,0.146888,0.048881,0.000693,-0.050755,-0.056242,-0.037863,0.767080,0.042138,0.044624,0.027206,0.871283,0.008617,0.011618,0.010657,0.703248,-0.154235,0.108941,-0.024758,-0.128109,0.179032,0.106508,-0.142337,0.152850,0.064789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,17.616667,26.819141,-26.802694,15.712644,-0.141603,0.146896,0.048877,0.000696,-0.050755,-0.056242,-0.037863,0.765387,0.042138,0.044624,0.027206,0.868705,0.008617,0.011618,0.010657,0.700782,-0.154220,0.108956,-0.024760,-0.128091,0.179047,0.106500,-0.142335,0.152849,0.064785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,17.625000,26.839796,-26.771690,15.739016,-0.141615,0.146882,0.048883,0.000691,-0.050755,-0.056242,-0.037863,0.765177,0.042138,0.044624,0.027206,0.872079,0.008617,0.011618,0.010657,0.704345,-0.154230,0.108947,-0.024756,-0.128115,0.179022,0.106503,-0.142336,0.152845,0.064794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,17.633333,26.807217,-26.811037,15.700920,-0.141611,0.146891,0.048881,0.000695,-0.050755,-0.056242,-0.037863,0.765177,0.042138,0.044624,0.027206,0.872079,0.008617,0.011618,0.010657,0.704345,-0.154237,0.108941,-0.024756,-0.128097,0.179044,0.106505,-0.142341,0.152849,0.064791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,17.641667,26.873350,-26.712202,15.789949,-0.141614,0.146886,0.048878,0.000694,-0.050755,-0.056242,-0.037863,0.766983,0.042138,0.044624,0.027206,0.869293,0.008617,0.011618,0.010657,0.701760,-0.154225,0.108950,-0.024763,-0.128109,0.179041,0.106498,-0.142347,0.152833,0.064793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,17.650000,26.875145,-26.712103,15.781617,-0.141624,0.146888,0.048883,0.000697,-0.050755,-0.056242,-0.037863,0.765359,0.042138,0.044624,0.027206,0.868579,0.008617,0.011618,0.010657,0.701183,-0.154244,0.108960,-0.024760,-0.128111,0.179036,0.106504,-0.142354,0.152833,0.064799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,17.658333,26.829617,-26.789450,15.723277,-0.141611,0.146893,0.048879,0.000695,-0.050755,-0.056242,-0.037863,0.765377,0.042138,0.044624,0.027206,0.868472,0.008617,0.011618,0.010657,0.701188,-0.154228,0.108955,-0.024764,-0.128098,0.179043,0.106503,-0.142344,0.152844,0.064793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,17.666667,26.850853,-26.756081,15.745292,-0.141628,0.146881,0.048886,0.000696,-0.050755,-0.056242,-0.037863,0.766487,0.042138,0.044624,0.027206,0.868079,0.008617,0.011618,0.010657,0.701310,-0.154253,0.108950,-0.024753,-0.128122,0.179017,0.106513,-0.142349,0.152838,0.064795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,17.675000,26.857267,-26.746595,15.760754,-0.141619,0.146887,0.048882,0.000697,-0.050755,-0.056242,-0.037863,0.765380,0.042138,0.044624,0.027206,0.871646,0.008617,0.011618,0.010657,0.702907,-0.154232,0.108957,-0.024757,-0.128113,0.179035,0.106504,-0.142350,0.152837,0.064793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,17.683333,26.825718,-26.805902,15.718612,-0.141627,0.146879,0.048887,0.000696,-0.050755,-0.056242,-0.037863,0.764474,0.042138,0.044624,0.027206,0.868998,0.008617,0.011618,0.010657,0.701054,-0.154233,0.108947,-0.024750,-0.128129,0.179019,0.106510,-0.142357,0.152837,0.064796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,17.691667,26.826666,-26.784821,15.722340,-0.141622,0.146881,0.048885,0.000694,-0.050755,-0.056242,-0.037863,0.766683,0.042138,0.044624,0.027206,0.870387,0.008617,0.011618,0.010657,0.702304,-0.154247,0.108938,-0.024753,-0.128111,0.179028,0.106509,-0.142349,0.152838,0.064797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,17.700000,26.869841,-26.703268,15.781784,-0.141624,0.146884,0.048884,0.000696,-0.050755,-0.056242,-0.037863,0.764863,0.042138,0.044624,0.027206,0.872079,0.008617,0.011618,0.010657,0.702721,-0.154255,0.108947,-0.024748,-0.128116,0.179028,0.106505,-0.142342,0.152841,0.064792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,17.708333,26.852303,-26.748583,15.759870,-0.141623,0.146884,0.048885,0.000699,-0.050755,-0.056242,-0.037863,0.764673,0.042138,0.044624,0.027206,0.869289,0.008617,0.011618,0.010657,0.701086,-0.154236,0.108948,-0.024751,-0.128118,0.179036,0.106507,-0.142352,0.152837,0.064792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,17.716667,26.846001,-26.753824,15.748733,-0.141628,0.146883,0.048886,0.000695,-0.050755,-0.056242,-0.037863,0.765700,0.042138,0.044624,0.027206,0.872484,0.008617,0.011618,0.010657,0.703371,-0.154251,0.108944,-0.024750,-0.128126,0.179024,0.106511,-0.142348,0.152844,0.064794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,17.725000,26.864885,-26.729900,15.776777,-0.141628,0.146881,0.048884,0.000695,-0.050755,-0.056242,-0.037863,0.766134,0.042138,0.044624,0.027206,0.869904,0.008617,0.011618,0.010657,0.702393,-0.154241,0.108942,-0.024757,-0.128127,0.179031,0.106509,-0.142353,0.152835,0.064794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,17.733333,26.824825,-26.807501,15.715608,-0.141625,0.146883,0.048879,0.000699,-0.050755,-0.056242,-0.037863,0.764098,0.042138,0.044624,0.027206,0.870194,0.008617,0.011618,0.010657,0.700759,-0.154236,0.108949,-0.024755,-0.128123,0.179025,0.106505,-0.142357,0.152837,0.064784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,17.741667,26.821175,-26.799614,15.716346,-0.141621,0.146889,0.048881,0.000696,-0.050755,-0.056242,-0.037863,0.765003,0.042138,0.044624,0.027206,0.872170,0.008617,0.011618,0.010657,0.702863,-0.154238,0.108948,-0.024754,-0.128121,0.179030,0.106506,-0.142344,0.152852,0.064785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130,17.750000,26.824722,-26.787403,15.721467,-0.141622,0.146884,0.048882,0.000695,-0.050755,-0.056242,-0.037863,0.765292,0.042138,0.044624,0.027206,0.870246,0.008617,0.011618,0.010657,0.702635,-0.154243,0.108944,-0.024754,-0.128113,0.179032,0.106502,-0.142348,0.152843,0.064791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,17.758333,26.844770,-26.773176,15.742604,-0.141622,0.146889,0.048880,0.000699,-0.050755,-0.056242,-0.037863,0.765292,0.042138,0.044624,0.027206,0.870246,0.008617,0.011618,0.010657,0.702635,-0.154231,0.108959,-0.024760,-0.128119,0.179034,0.106507,-0.142354,0.152839,0.064787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,17.766667,26.857910,-26.750402,15.753804,-0.141626,0.146893,0.048881,0.000698,-0.050755,-0.056242,-0.037863,0.764377,0.042138,0.044624,0.027206,0.869403,0.008617,0.011618,0.010657,0.700609,-0.154242,0.108971,-0.024759,-0.128120,0.179031,0.106505,-0.142353,0.152844,0.064791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,17.775000,26.823471,-26.807024,15.711252,-0.141629,0.146883,0.048881,0.000694,-0.050755,-0.056242,-0.037863,0.763887,0.042138,0.044624,0.027206,0.870213,0.008617,0.011618,0.010657,0.701734,-0.154245,0.108949,-0.024760,-0.128121,0.179025,0.106505,-0.142361,0.152837,0.064793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,17.783333,26.883135,-26.710699,15.793509,-0.141622,0.146889,0.048882,0.000698,-0.050755,-0.056242,-0.037863,0.765755,0.042138,0.044624,0.027206,0.869526,0.008617,0.011618,0.010657,0.701961,-0.154228,0.108966,-0.024760,-0.128120,0.179035,0.106503,-0.142353,0.152834,0.064795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,17.791667,26.875959,-26.710640,15.785018,-0.141632,0.146885,0.048886,0.000698,-0.050755,-0.056242,-0.037863,0.763849,0.042138,0.044624,0.027206,0.868976,0.008617,0.011618,0.010657,0.701010,-0.154248,0.108960,-0.024750,-0.128125,0.179030,0.106504,-0.142358,0.152835,0.064796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,17.800000,26.858570,-26.752174,15.762197,-0.141625,0.146884,0.048883,0.000697,-0.050755,-0.056242,-0.037863,0.763303,0.042138,0.044624,0.027206,0.869974,0.008617,0.011618,0.010657,0.701543,-0.154236,0.108951,-0.024756,-0.128132,0.179023,0.106511,-0.142347,0.152843,0.064789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,17.808333,26.839073,-26.781685,15.734540,-0.141624,0.146888,0.048879,0.000698,-0.050755,-0.056242,-0.037863,0.765165,0.042138,0.044624,0.027206,0.871835,0.008617,0.011618,0.010657,0.703098,-0.154236,0.108956,-0.024760,-0.128125,0.179026,0.106505,-0.142349,0.152847,0.064787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,17.816667,26.831404,-26.796381,15.722800,-0.141626,0.146891,0.048884,0.000695,-0.050755,-0.056242,-0.037863,0.764735,0.042138,0.044624,0.027206,0.870964,0.008617,0.011618,0.010657,0.702573,-0.154237,0.108959,-0.024754,-0.128124,0.179029,0.106507,-0.142354,0.152848,0.064795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,17.825000,26.811119,-26.826239,15.698387,-0.141625,0.146882,0.048880,0.000694,-0.050755,-0.056242,-0.037863,0.766068,0.042138,0.044624,0.027206,0.870919,0.008617,0.011618,0.010657,0.703202,-0.154238,0.108944,-0.024761,-0.128122,0.179023,0.106505,-0.142354,0.152843,0.064793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140,17.833333,26.826275,-26.803795,15.716016,-0.141620,0.146896,0.048875,0.000695,-0.050755,-0.056242,-0.037863,0.765215,0.042138,0.044624,0.027206,0.870741,0.008617,0.011618,0.010657,0.703237,-0.154232,0.108964,-0.024766,-0.128117,0.179036,0.106498,-0.142348,0.152856,0.064788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,17.841667,26.828081,-26.787041,15.722630,-0.141623,0.146887,0.048882,0.000698,-0.050755,-0.056242,-0.037863,0.765839,0.042138,0.044624,0.027206,0.869370,0.008617,0.011618,0.010657,0.701364,-0.154244,0.108948,-0.024757,-0.128112,0.179035,0.106507,-0.142353,0.152841,0.064790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,17.850000,26.836260,-26.785442,15.731283,-0.141623,0.146891,0.048882,0.000695,-0.050755,-0.056242,-0.037863,0.765949,0.042138,0.044624,0.027206,0.872410,0.008617,0.011618,0.010657,0.703863,-0.154239,0.108954,-0.024758,-0.128126,0.179028,0.106510,-0.142344,0.152855,0.064789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,17.858333,26.855101,-26.741016,15.762214,-0.141624,0.146887,0.048877,0.000695,-0.050755,-0.056242,-0.037863,0.767016,0.042138,0.044624,0.027206,0.867367,0.008617,0.011618,0.010657,0.700938,-0.154241,0.108948,-0.024768,-0.128111,0.179044,0.106500,-0.142359,0.152833,0.064795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,17.866667,26.867836,-26.727631,15.777952,-0.141625,0.146884,0.048879,0.000698,-0.050755,-0.056242,-0.037863,0.765566,0.042138,0.044624,0.027206,0.871109,0.008617,0.011618,0.010657,0.702628,-0.154241,0.108947,-0.024759,-0.128127,0.179028,0.106506,-0.142346,0.152841,0.064784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2145,17.875000,26.871792,-26.730083,15.779687,-0.141619,0.146894,0.048878,0.000697,-0.050755,-0.056242,-0.037863,0.764736,0.042138,0.044624,0.027206,0.869085,0.008617,0.011618,0.010657,0.701335,-0.154226,0.108965,-0.024764,-0.128118,0.179040,0.106502,-0.142348,0.152842,0.064788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,17.883333,26.851967,-26.761728,15.752913,-0.141631,0.146881,0.048884,0.000697,-0.050755,-0.056242,-0.037863,0.764736,0.042138,0.044624,0.027206,0.869085,0.008617,0.011618,0.010657,0.701335,-0.154243,0.108948,-0.024753,-0.128134,0.179021,0.106509,-0.142355,0.152838,0.064792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,17.891667,26.828287,-26.802942,15.720343,-0.141627,0.146882,0.048885,0.000694,-0.050755,-0.056242,-0.037863,0.764814,0.042138,0.044624,0.027206,0.871326,0.008617,0.011618,0.010657,0.702735,-0.154237,0.108946,-0.024756,-0.128125,0.179025,0.106510,-0.142360,0.152836,0.064798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,17.900000,26.878113,-26.708904,15.791534,-0.141628,0.146881,0.048885,0.000699,-0.050755,-0.056242,-0.037863,0.765766,0.042138,0.044624,0.027206,0.869556,0.008617,0.011618,0.010657,0.701899,-0.154244,0.108946,-0.024755,-0.128124,0.179032,0.106514,-0.142356,0.152828,0.064792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,17.908333,26.856060,-26.744293,15.765685,-0.141629,0.146882,0.048885,0.000694,-0.050755,-0.056242,-0.037863,0.765613,0.042138,0.044624,0.027206,0.869109,0.008617,0.011618,0.010657,0.700508,-0.154242,0.108941,-0.024753,-0.128133,0.179027,0.106511,-0.142349,0.152844,0.064793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,17.916667,26.845058,-26.756010,15.748717,-0.141624,0.146888,0.048877,0.000697,-0.050755,-0.056242,-0.037863,0.765999,0.042138,0.044624,0.027206,0.871784,0.008617,0.011618,0.010657,0.703674,-0.154242,0.108950,-0.024760,-0.128115,0.179038,0.106501,-0.142349,0.152842,0.064782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,17.925000,26.836893,-26.802650,15.725126,-0.141634,0.146876,0.048884,0.000695,-0.050755,-0.056242,-0.037863,0.765074,0.042138,0.044624,0.027206,0.869732,0.008617,0.011618,0.010657,0.701349,-0.154239,0.108948,-0.024762,-0.128132,0.179017,0.106511,-0.142371,0.152825,0.064800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2152,17.933333,26.849670,-26.773296,15.746505,-0.141633,0.146872,0.048884,0.000693,-0.050755,-0.056242,-0.037863,0.765709,0.042138,0.044624,0.027206,0.868552,0.008617,0.011618,0.010657,0.701442,-0.154244,0.108938,-0.024764,-0.128139,0.179010,0.106517,-0.142357,0.152832,0.064795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,17.941667,26.856874,-26.748266,15.758650,-0.141626,0.146881,0.048880,0.000694,-0.050755,-0.056242,-0.037863,0.766081,0.042138,0.044624,0.027206,0.871426,0.008617,0.011618,0.010657,0.703122,-0.154244,0.108946,-0.024761,-0.128126,0.179021,0.106510,-0.142347,0.152840,0.064788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,17.950000,26.833521,-26.790672,15.728963,-0.141631,0.146879,0.048883,0.000696,-0.050755,-0.056242,-0.037863,0.765701,0.042138,0.044624,0.027206,0.870936,0.008617,0.011618,0.010657,0.702269,-0.154243,0.108942,-0.024757,-0.128131,0.179021,0.106511,-0.142358,0.152836,0.064790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2155,17.958333,26.833311,-26.788355,15.726710,-0.141635,0.146871,0.048883,0.000694,-0.050755,-0.056242,-0.037863,0.765682,0.042138,0.044624,0.027206,0.871414,0.008617,0.011618,0.010657,0.703290,-0.154251,0.108936,-0.024757,-0.128134,0.179011,0.106511,-0.142356,0.152834,0.064788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2156,17.966667,26.828209,-26.811796,15.713000,-0.141635,0.146872,0.048884,0.000694,-0.050755,-0.056242,-0.037863,0.765858,0.042138,0.044624,0.027206,0.868807,0.008617,0.011618,0.010657,0.701585,-0.154244,0.108944,-0.024763,-0.128130,0.179012,0.106512,-0.142371,0.152823,0.064798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157,17.975000,26.831516,-26.800037,15.721524,-0.141634,0.146876,0.048885,0.000697,-0.050755,-0.056242,-0.037863,0.766938,0.042138,0.044624,0.027206,0.868780,0.008617,0.011618,0.010657,0.701340,-0.154247,0.108940,-0.024761,-0.128129,0.179021,0.106519,-0.142365,0.152829,0.064793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,17.983333,26.855537,-26.736816,15.763639,-0.141639,0.146869,0.048881,0.000698,-0.050755,-0.056242,-0.037863,0.763885,0.042138,0.044624,0.027206,0.869855,0.008617,0.011618,0.010657,0.700666,-0.154256,0.108934,-0.024752,-0.128131,0.179019,0.106502,-0.142368,0.152819,0.064789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,17.991667,26.843376,-26.766899,15.741580,-0.141625,0.146875,0.048879,0.000698,-0.050755,-0.056242,-0.037863,0.764934,0.042138,0.044624,0.027206,0.868206,0.008617,0.011618,0.010657,0.700027,-0.154240,0.108943,-0.024761,-0.128113,0.179025,0.106504,-0.142360,0.152822,0.064790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
