Format Version,1.23,Take Name,BeigeRubber_240610_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 10.55.03.015 AM,Capture Start Frame,442731,Total Frames in Take,2249,Total Exported Frames,2249,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
38,0.316667,-55.115948,19.681543,79.547379,-0.831495,0.110565,-0.828281,0.000672,-0.050755,-0.056242,-0.037863,0.665900,0.042138,0.044624,0.027206,0.594178,0.008617,0.011618,0.010657,0.825904,-0.801643,0.033144,-0.808100,-0.855723,0.171332,-0.847711,-0.837374,0.126959,-0.829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,-55.213676,19.803587,79.660706,-0.831523,0.110551,-0.828271,0.000674,-0.050755,-0.056242,-0.037863,0.665999,0.042138,0.044624,0.027206,0.588616,0.008617,0.011618,0.010657,0.820676,-0.801672,0.033126,-0.808094,-0.855764,0.171320,-0.847696,-0.837396,0.126940,-0.828990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,-55.196796,19.818907,79.646179,-0.831520,0.110550,-0.828274,0.000675,-0.050755,-0.056242,-0.037863,0.664275,0.042138,0.044624,0.027206,0.587759,0.008617,0.011618,0.010657,0.820892,-0.801698,0.033108,-0.808112,-0.855738,0.171330,-0.847688,-0.837379,0.126950,-0.828989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,-55.189999,19.783957,79.641914,-0.831525,0.110540,-0.828268,0.000676,-0.050755,-0.056242,-0.037863,0.661034,0.042138,0.044624,0.027206,0.587612,0.008617,0.011618,0.010657,0.822707,-0.801685,0.033100,-0.808100,-0.855765,0.171311,-0.847688,-0.837385,0.126944,-0.828984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,-55.166149,19.740583,79.621117,-0.831534,0.110532,-0.828266,0.000676,-0.050755,-0.056242,-0.037863,0.661034,0.042138,0.044624,0.027206,0.587612,0.008617,0.011618,0.010657,0.822707,-0.801679,0.033092,-0.808094,-0.855775,0.171308,-0.847682,-0.837415,0.126928,-0.828989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,-55.160999,19.734745,79.609413,-0.831516,0.110543,-0.828261,0.000677,-0.050755,-0.056242,-0.037863,0.658798,0.042138,0.044624,0.027206,0.584770,0.008617,0.011618,0.010657,0.821409,-0.801669,0.033101,-0.808086,-0.855755,0.171315,-0.847684,-0.837387,0.126945,-0.828980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366667,-55.044521,19.590998,79.500793,-0.831509,0.110538,-0.828264,0.000676,-0.050755,-0.056242,-0.037863,0.664874,0.042138,0.044624,0.027206,0.587478,0.008617,0.011618,0.010657,0.820007,-0.801625,0.033119,-0.808110,-0.855758,0.171306,-0.847677,-0.837401,0.126926,-0.828973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,-55.189556,19.770769,79.647217,-0.831519,0.110524,-0.828260,0.000681,-0.050755,-0.056242,-0.037863,0.655707,0.042138,0.044624,0.027206,0.583774,0.008617,0.011618,0.010657,0.823822,-0.801672,0.033073,-0.808088,-0.855761,0.171303,-0.847677,-0.837384,0.126929,-0.828982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.383333,-55.052250,19.594313,79.510994,-0.831508,0.110535,-0.828259,0.000676,-0.050755,-0.056242,-0.037863,0.655707,0.042138,0.044624,0.027206,0.583774,0.008617,0.011618,0.010657,0.823822,-0.801624,0.033107,-0.808100,-0.855755,0.171308,-0.847670,-0.837402,0.126927,-0.828973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.391667,-55.169796,19.749613,79.626732,-0.831513,0.110526,-0.828258,0.000678,-0.050755,-0.056242,-0.037863,0.657918,0.042138,0.044624,0.027206,0.584198,0.008617,0.011618,0.010657,0.822820,-0.801661,0.033081,-0.808089,-0.855751,0.171305,-0.847673,-0.837385,0.126927,-0.828981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
