Format Version,1.23,Take Name,Soap_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 11.31.32.896 AM,Capture Start Frame,192254,Total Frames in Take,5449,Total Exported Frames,5449,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051
,ID,"C4C90","C4C90","C4C90"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
364,3.033333,0.043921,0.411056,-0.581936
365,3.041667,0.042857,0.411931,-0.583693
366,3.050000,0.041916,0.412584,-0.585503
367,3.058333,0.041185,0.413244,-0.587523
368,3.066667,0.040407,0.413997,-0.589198
369,3.075000,0.039991,0.414838,-0.590728
370,3.083333,0.040017,0.415632,-0.592258
371,3.091667,0.040170,0.416416,-0.593935
372,3.100000,0.040360,0.417527,-0.595672
373,3.108333,0.040727,0.418244,-0.597489
374,3.116667,0.041106,0.419262,-0.599506
375,3.125000,0.041371,0.420481,-0.601555
376,3.133333,0.041547,0.421368,-0.603778
377,3.141667,0.041681,0.422568,-0.606054
378,3.150000,0.041516,0.423673,-0.608366
379,3.158333,0.041565,0.424817,-0.610893
380,3.166667,0.041528,0.425751,-0.613354
381,3.175000,0.041246,0.427073,-0.615642
382,3.183333,0.041210,0.428036,-0.618010
383,3.191667,0.041294,0.429267,-0.620371
384,3.200000,0.041479,0.430369,-0.622851
385,3.208333,0.041917,0.431436,-0.625137
386,3.216667,0.042310,0.432669,-0.627291
387,3.225000,0.042833,0.433737,-0.629549
388,3.233333,0.043331,0.434987,-0.631902
389,3.241667,0.043732,0.436145,-0.634190
390,3.250000,0.044154,0.437307,-0.636508
391,3.258333,0.044413,0.438538,-0.638933
392,3.266667,0.044375,0.439696,-0.641308
393,3.275000,0.044400,0.440914,-0.643877
394,3.283333,0.044426,0.442235,-0.646416
395,3.291667,0.044275,0.443392,-0.648968
396,3.300000,0.044373,0.444657,-0.651422
397,3.308333,0.044430,0.445628,-0.653842
398,3.316667,0.044652,0.446832,-0.656178
399,3.325000,0.044890,0.448069,-0.658481
400,3.333333,0.045180,0.449046,-0.660827
401,3.341667,0.045165,0.450379,-0.662896
402,3.350000,0.045360,0.451453,-0.665141
403,3.358333,0.045345,0.452667,-0.667558
