,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C40A0","C40A0","C40A0","C4070","C4070","C4070","C4090","C4090","C4090","C4030","C4030","C4030","C40B0","C40B0","C40B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,0.241667,10.875690,11.787349,9.253572,-0.686028,0.405170,-0.742229,0.000384,-0.050755,-0.056242,-0.037863,0.846668,0.042138,0.044624,0.027206,0.928923,0.008617,0.011618,0.010657,0.829571,-0.733499,0.348357,-0.782120,-0.646836,0.451354,-0.713113,-0.677702,0.415837,-0.731425,,,,,,
30,0.250000,10.887890,11.806739,9.258894,-0.686023,0.405168,-0.742224,0.000386,-0.050755,-0.056242,-0.037863,0.849338,0.042138,0.044624,0.027206,0.928467,0.008617,0.011618,0.010657,0.829370,-0.733508,0.348352,-0.782114,-0.646824,0.451358,-0.713106,-0.677693,0.415834,-0.731421,,,,,,
31,0.258333,10.828482,11.718146,9.222122,-0.686027,0.405167,-0.742225,0.000387,-0.050755,-0.056242,-0.037863,0.849338,0.042138,0.044624,0.027206,0.928467,0.008617,0.011618,0.010657,0.829370,-0.733500,0.348352,-0.782114,-0.646834,0.451349,-0.713108,-0.677697,0.415839,-0.731422,,,,,,
32,0.266667,10.860589,11.764729,9.240670,-0.686025,0.405170,-0.742227,0.000388,-0.050755,-0.056242,-0.037863,0.847275,0.042138,0.044624,0.027206,0.928544,0.008617,0.011618,0.010657,0.830507,-0.733512,0.348352,-0.782118,-0.646826,0.451355,-0.713107,-0.677691,0.415839,-0.731426,,,,,,
33,0.275000,10.839317,11.731921,9.228681,-0.686015,0.405175,-0.742230,0.000385,-0.050755,-0.056242,-0.037863,0.849915,0.042138,0.044624,0.027206,0.928266,0.008617,0.011618,0.010657,0.830015,-0.733489,0.348361,-0.782120,-0.646824,0.451357,-0.713111,-0.677684,0.415847,-0.731429,,,,,,
34,0.283333,10.846208,11.739491,9.231492,-0.686032,0.405166,-0.742227,0.000383,-0.050755,-0.056242,-0.037863,0.847359,0.042138,0.044624,0.027206,0.928263,0.008617,0.011618,0.010657,0.829988,-0.733510,0.348351,-0.782122,-0.646835,0.451351,-0.713108,-0.677708,0.415832,-0.731421,,,,,,
35,0.291667,10.854494,11.754007,9.239170,-0.686031,0.405165,-0.742227,0.000384,-0.050755,-0.056242,-0.037863,0.848652,0.042138,0.044624,0.027206,0.929139,0.008617,0.011618,0.010657,0.829644,-0.733505,0.348351,-0.782119,-0.646838,0.451349,-0.713109,-0.677704,0.415831,-0.731423,,,,,,
36,0.300000,10.839831,11.727575,9.225337,-0.686027,0.405170,-0.742226,0.000386,-0.050755,-0.056242,-0.037863,0.847657,0.042138,0.044624,0.027206,0.928844,0.008617,0.011618,0.010657,0.829432,-0.733503,0.348359,-0.782120,-0.646834,0.451349,-0.713105,-0.677699,0.415839,-0.731424,,,,,,
37,0.308333,10.823481,11.709458,9.216947,-0.686029,0.405168,-0.742230,0.000385,-0.050755,-0.056242,-0.037863,0.847418,0.042138,0.044624,0.027206,0.928511,0.008617,0.011618,0.010657,0.829630,-0.733507,0.348353,-0.782122,-0.646828,0.451352,-0.713114,-0.677706,0.415836,-0.731426,,,,,,
38,0.316667,10.865457,11.772884,9.247139,-0.686022,0.405171,-0.742229,0.000384,-0.050755,-0.056242,-0.037863,0.847401,0.042138,0.044624,0.027206,0.928795,0.008617,0.011618,0.010657,0.828852,-0.733496,0.348356,-0.782120,-0.646825,0.451358,-0.713112,-0.677697,0.415836,-0.731427,,,,,,
